epoch,name,cpu_percent
1785935281,lts-grafana,0.73
1785935281,lts-postgres,17.56
1785935285,loadtest-sim-k6-run-c81391a0bcdc,39.09
1785935285,lts-app,26.28
1785935285,lts-prometheus,4.55
1785935285,lts-nginx,17.20
1785935285,lts-cadvisor,2.30
1785935285,lts-pg-exporter,0.89
1785935285,lts-grafana,0.74
1785935285,lts-postgres,15.09
1785935289,loadtest-sim-k6-run-c81391a0bcdc,38.32
1785935289,lts-app,25.68
1785935289,lts-prometheus,24.58
1785935289,lts-nginx,17.26
1785935289,lts-cadvisor,2.26
1785935289,lts-pg-exporter,0.01
1785935289,lts-grafana,0.71
1785935289,lts-postgres,15.80
1785935293,loadtest-sim-k6-run-c81391a0bcdc,33.52
1785935293,lts-app,24.67
1785935293,lts-prometheus,50.90
1785935293,lts-nginx,18.29
1785935293,lts-cadvisor,2.41
1785935293,lts-pg-exporter,0.01
1785935293,lts-grafana,0.98
1785935293,lts-postgres,16.41
1785935297,loadtest-sim-k6-run-c81391a0bcdc,32.49
1785935297,lts-app,23.17
1785935297,lts-prometheus,48.44
1785935297,lts-nginx,17.62
1785935297,lts-cadvisor,0.31
1785935297,lts-pg-exporter,0.00
1785935297,lts-grafana,0.69
1785935297,lts-postgres,16.24
1785935302,loadtest-sim-k6-run-c81391a0bcdc,38.26
1785935302,lts-app,24.49
1785935302,lts-prometheus,4.50
1785935302,lts-nginx,18.66
1785935302,lts-cadvisor,1.36
1785935302,lts-pg-exporter,0.00
1785935302,lts-grafana,0.78
1785935302,lts-postgres,15.84
1785935306,loadtest-sim-k6-run-c81391a0bcdc,40.72
1785935306,lts-app,26.72
1785935306,lts-prometheus,3.39
1785935306,lts-nginx,17.94
1785935306,lts-cadvisor,0.41
1785935306,lts-pg-exporter,0.00
1785935306,lts-grafana,0.83
1785935306,lts-postgres,16.11
1785935310,loadtest-sim-k6-run-c81391a0bcdc,38.26
1785935310,lts-app,23.96
1785935310,lts-prometheus,45.16
1785935310,lts-nginx,17.32
1785935310,lts-cadvisor,0.28
1785935310,lts-pg-exporter,0.00
1785935310,lts-grafana,0.82
1785935310,lts-postgres,16.39
1785935314,loadtest-sim-k6-run-c81391a0bcdc,37.45
1785935314,lts-app,25.72
1785935314,lts-prometheus,35.63
1785935314,lts-nginx,16.97
1785935314,lts-cadvisor,0.50
1785935314,lts-pg-exporter,0.00
1785935314,lts-grafana,0.73
1785935314,lts-postgres,18.35
1785935318,loadtest-sim-k6-run-c81391a0bcdc,44.52
1785935318,lts-app,24.24
1785935318,lts-prometheus,4.34
1785935318,lts-nginx,17.20
1785935318,lts-cadvisor,0.25
1785935318,lts-pg-exporter,0.00
1785935318,lts-grafana,0.77
1785935318,lts-postgres,16.77
1785935322,loadtest-sim-k6-run-c81391a0bcdc,31.16
1785935322,lts-app,22.03
1785935322,lts-prometheus,8.18
1785935322,lts-nginx,16.63
1785935322,lts-cadvisor,0.32
1785935322,lts-pg-exporter,0.00
1785935322,lts-grafana,0.73
1785935322,lts-postgres,16.32
1785935326,loadtest-sim-k6-run-c81391a0bcdc,38.62
1785935326,lts-app,22.91
1785935326,lts-prometheus,51.50
1785935326,lts-nginx,17.34
1785935326,lts-cadvisor,0.51
1785935326,lts-pg-exporter,0.00
1785935326,lts-grafana,0.86
1785935326,lts-postgres,16.15
1785935330,loadtest-sim-k6-run-c81391a0bcdc,35.89
1785935330,lts-app,28.13
1785935330,lts-prometheus,40.02
1785935330,lts-nginx,18.80
1785935330,lts-cadvisor,0.43
1785935330,lts-pg-exporter,0.00
1785935330,lts-grafana,0.76
1785935330,lts-postgres,19.35
1785935334,loadtest-sim-k6-run-c81391a0bcdc,37.64
1785935334,lts-app,22.97
1785935334,lts-prometheus,15.42
1785935334,lts-nginx,17.31
1785935334,lts-cadvisor,0.36
1785935334,lts-pg-exporter,0.00
1785935334,lts-grafana,0.89
1785935334,lts-postgres,17.72
1785935338,lts-app,1.28
1785935338,lts-prometheus,0.93
1785935338,lts-nginx,0.00
1785935338,lts-cadvisor,2.07
1785935338,lts-pg-exporter,1.96
1785935338,lts-grafana,2.20
1785935338,lts-postgres,1.69
