1785936523,lts-pg-exporter,1.74
1785936523,lts-postgres,66.13
1785936523,lts-prometheus,6.85
1785936527,loadtest-sim-k6-run-229318270606,57.91
1785936527,lts-app,73.72
1785936527,lts-nginx,0.00
1785936527,lts-grafana,0.76
1785936527,lts-pg-exporter,1.14
1785936527,lts-postgres,30.85
1785936527,lts-prometheus,0.15
1785936531,loadtest-sim-k6-run-229318270606,67.02
1785936531,lts-app,79.00
1785936531,lts-nginx,0.00
1785936531,lts-grafana,0.89
1785936531,lts-pg-exporter,1.52
1785936531,lts-postgres,34.69
1785936531,lts-prometheus,0.20
1785936535,loadtest-sim-k6-run-229318270606,71.59
1785936535,lts-app,87.07
1785936535,lts-nginx,0.00
1785936535,lts-grafana,0.94
1785936535,lts-pg-exporter,0.82
1785936535,lts-postgres,46.76
1785936535,lts-prometheus,49.12
1785936539,loadtest-sim-k6-run-229318270606,89.21
1785936539,lts-app,104.08
1785936539,lts-nginx,0.00
1785936539,lts-grafana,1.23
1785936539,lts-pg-exporter,0.00
1785936539,lts-postgres,69.17
1785936539,lts-prometheus,9.65
1785936544,loadtest-sim-k6-run-229318270606,98.32
1785936544,lts-app,90.88
1785936544,lts-nginx,0.00
1785936544,lts-grafana,1.01
1785936544,lts-pg-exporter,0.00
1785936544,lts-postgres,54.17
1785936544,lts-prometheus,0.94
1785936548,loadtest-sim-k6-run-229318270606,56.82
1785936548,lts-app,71.54
1785936548,lts-nginx,0.00
1785936548,lts-grafana,0.75
1785936548,lts-pg-exporter,0.00
1785936548,lts-postgres,28.83
1785936548,lts-prometheus,0.36
1785936552,loadtest-sim-k6-run-229318270606,65.74
1785936552,lts-app,82.69
1785936552,lts-nginx,0.00
1785936552,lts-grafana,0.89
1785936552,lts-pg-exporter,0.00
1785936552,lts-postgres,36.72
1785936552,lts-prometheus,0.12
1785936556,loadtest-sim-k6-run-229318270606,65.95
1785936556,lts-app,82.63
1785936556,lts-nginx,0.00
1785936556,lts-grafana,0.72
1785936556,lts-pg-exporter,0.00
1785936556,lts-postgres,36.94
1785936556,lts-prometheus,0.16
1785936560,loadtest-sim-k6-run-229318270606,71.05
1785936560,lts-app,87.47
1785936560,lts-nginx,0.00
1785936560,lts-grafana,1.12
1785936560,lts-pg-exporter,0.00
1785936560,lts-postgres,41.65
1785936560,lts-prometheus,14.58
1785936564,loadtest-sim-k6-run-229318270606,61.33
1785936564,lts-app,71.84
1785936564,lts-nginx,0.00
1785936564,lts-grafana,0.77
1785936564,lts-pg-exporter,0.88
1785936564,lts-postgres,31.20
1785936564,lts-prometheus,0.57
1785936568,loadtest-sim-k6-run-229318270606,75.40
1785936568,lts-app,76.58
1785936568,lts-nginx,0.00
1785936568,lts-grafana,0.88
1785936568,lts-pg-exporter,0.00
1785936568,lts-postgres,32.24
1785936568,lts-prometheus,5.12
1785936573,loadtest-sim-k6-run-229318270606,101.65
1785936573,lts-app,107.76
1785936573,lts-nginx,0.00
1785936573,lts-grafana,1.20
1785936573,lts-pg-exporter,2.04
1785936573,lts-postgres,76.55
1785936573,lts-prometheus,26.02
1785936577,loadtest-sim-k6-run-229318270606,77.14
1785936577,lts-app,92.90
1785936577,lts-nginx,0.00
1785936577,lts-grafana,0.85
1785936577,lts-pg-exporter,0.00
1785936577,lts-postgres,50.88
1785936577,lts-prometheus,0.54
1785936581,loadtest-sim-k6-run-229318270606,83.61
1785936581,lts-app,107.18
1785936581,lts-nginx,0.00
1785936581,lts-grafana,1.36
1785936581,lts-pg-exporter,1.48
1785936581,lts-postgres,61.81
1785936581,lts-prometheus,0.47
1785936585,loadtest-sim-k6-run-229318270606,71.47
1785936585,lts-app,81.13
1785936585,lts-nginx,0.00
1785936585,lts-grafana,0.87
1785936585,lts-pg-exporter,0.92
1785936585,lts-postgres,43.06
1785936585,lts-prometheus,20.25
1785936589,loadtest-sim-k6-run-229318270606,85.12
1785936589,lts-app,88.59
1785936589,lts-nginx,0.00
1785936589,lts-grafana,0.89
1785936589,lts-pg-exporter,0.97
1785936589,lts-postgres,40.96
