epoch,name,cpu_percent
1785935006,lts-grafana,0.77
1785935006,lts-postgres,15.81
1785935010,loadtest-sim-k6-run-212ccbdcfb85,18.05
1785935010,lts-app,23.06
1785935010,lts-prometheus,2.65
1785935010,lts-nginx,2.97
1785935010,lts-cadvisor,0.41
1785935010,lts-pg-exporter,0.00
1785935010,lts-grafana,0.76
1785935010,lts-postgres,15.53
1785935014,loadtest-sim-k6-run-212ccbdcfb85,18.99
1785935014,lts-app,22.89
1785935014,lts-prometheus,3.22
1785935014,lts-nginx,3.15
1785935014,lts-cadvisor,0.39
1785935014,lts-pg-exporter,0.00
1785935014,lts-grafana,0.80
1785935014,lts-postgres,15.65
1785935018,loadtest-sim-k6-run-212ccbdcfb85,13.63
1785935018,lts-app,26.35
1785935018,lts-prometheus,3.13
1785935018,lts-nginx,3.14
1785935018,lts-cadvisor,1.15
1785935018,lts-pg-exporter,0.00
1785935018,lts-grafana,0.77
1785935018,lts-postgres,15.87
1785935022,loadtest-sim-k6-run-212ccbdcfb85,19.28
1785935022,lts-app,21.95
1785935022,lts-prometheus,2.84
1785935022,lts-nginx,3.03
1785935022,lts-cadvisor,0.33
1785935022,lts-pg-exporter,0.00
1785935022,lts-grafana,0.81
1785935022,lts-postgres,15.64
1785935026,loadtest-sim-k6-run-212ccbdcfb85,19.33
1785935026,lts-app,21.89
1785935026,lts-prometheus,3.10
1785935026,lts-nginx,3.02
1785935026,lts-cadvisor,0.43
1785935026,lts-pg-exporter,0.92
1785935026,lts-grafana,0.78
1785935026,lts-postgres,13.78
1785935030,loadtest-sim-k6-run-212ccbdcfb85,25.06
1785935030,lts-app,25.38
1785935030,lts-prometheus,3.91
1785935030,lts-nginx,3.38
1785935030,lts-cadvisor,0.46
1785935030,lts-pg-exporter,0.99
1785935030,lts-grafana,0.80
1785935030,lts-postgres,14.31
1785935034,loadtest-sim-k6-run-212ccbdcfb85,14.63
1785935034,lts-app,26.57
1785935034,lts-prometheus,7.63
1785935034,lts-nginx,3.30
1785935034,lts-cadvisor,0.36
1785935034,lts-pg-exporter,0.98
1785935034,lts-grafana,0.86
1785935034,lts-postgres,14.98
1785935039,loadtest-sim-k6-run-212ccbdcfb85,15.31
1785935039,lts-app,27.12
1785935039,lts-prometheus,11.07
1785935039,lts-nginx,3.18
1785935039,lts-cadvisor,2.56
1785935039,lts-pg-exporter,1.16
1785935039,lts-grafana,0.64
1785935039,lts-postgres,18.89
1785935043,loadtest-sim-k6-run-212ccbdcfb85,14.18
1785935043,lts-app,23.92
1785935043,lts-prometheus,17.74
1785935043,lts-nginx,3.14
1785935043,lts-cadvisor,2.15
1785935043,lts-pg-exporter,0.84
1785935043,lts-grafana,0.75
1785935043,lts-postgres,16.03
1785935047,loadtest-sim-k6-run-212ccbdcfb85,13.79
1785935047,lts-app,26.12
1785935047,lts-prometheus,20.34
1785935047,lts-nginx,3.23
1785935047,lts-cadvisor,0.36
1785935047,lts-pg-exporter,1.04
1785935047,lts-grafana,0.80
1785935047,lts-postgres,17.22
1785935051,loadtest-sim-k6-run-212ccbdcfb85,13.27
1785935051,lts-app,22.64
1785935051,lts-prometheus,27.74
1785935051,lts-nginx,3.14
1785935051,lts-cadvisor,1.58
1785935051,lts-pg-exporter,1.10
1785935051,lts-grafana,0.72
1785935051,lts-postgres,15.84
1785935055,loadtest-sim-k6-run-212ccbdcfb85,13.78
1785935055,lts-app,23.29
1785935055,lts-prometheus,30.55
1785935055,lts-nginx,3.11
1785935055,lts-cadvisor,2.20
1785935055,lts-pg-exporter,0.84
1785935055,lts-grafana,3.43
1785935055,lts-postgres,19.71
1785935059,loadtest-sim-k6-run-212ccbdcfb85,13.98
1785935059,lts-app,24.62
1785935059,lts-prometheus,35.99
1785935059,lts-nginx,3.30
1785935059,lts-cadvisor,2.07
1785935059,lts-pg-exporter,1.05
1785935059,lts-grafana,0.73
1785935059,lts-postgres,15.35
